.masse_A
t	x	y
0.000000e0	-8.122424e-3	-1.271502e-3
6.680000e-2	-8.385270e-3	1.232708e-2
2.672222e-1	-1.060131e0	1.406673e-1
3.340222e-1	-1.060009e0	1.403540e-1
7.348444e-1	-1.060158e0	1.408037e-1
1.536478e0	-1.059689e0	1.908981e-1
1.603278e0	-1.060668e0	2.021501e-1
1.670089e0	-1.060721e0	2.142534e-1
2.404911e0	-1.065560e0	3.679940e-1
2.471722e0	-1.065971e0	3.797190e-1
2.538556e0	-1.065954e0	3.934288e-1
2.605333e0	-1.067466e0	4.085514e-1
2.672133e0	1.708377e-2	6.088016e-1
3.340156e0	7.972335e-3	7.397504e-1
3.406978e0	7.726468e-3	7.521485e-1
3.473767e0	7.846369e-3	7.635112e-1
3.607389e0	5.781050e-3	7.878090e-1
3.674178e0	5.610412e-3	8.004732e-1
3.740978e0	3.564327e-3	8.134132e-1
3.807789e0	3.420390e-3	8.265547e-1
3.874589e0	3.298827e-3	8.380710e-1
3.941389e0	1.752044e-3	8.525946e-1
4.008200e0	1.752972e-3	8.623716e-1
4.075044e0	1.406383e-3	8.749986e-1
4.141800e0	1.351902e-3	8.878291e-1
